                  ,                                                                                                   ,     ,         ,                                        ,         , 2026 Update    ,        , 0.03
                  ,                                                                                                   ,     ,         ,                                        ,         , Revised Pricing,        , 
                  ,                                                                                                   ,     ,         ,                                        ,         , Install        , Remove , Transfer
CPD-CS            , "CPD,Current Sensor"                                                                              , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 40.05          , 22.25  , 15.57
CPD-ELF           , "CPD,ELF Fuse"                                                                                    , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 28.92          , 28.92  , 0
CPD-MB-6          , "CPD,Mount Bkt,6 Unit"                                                                            , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 42.27          , 22.73  , 71.13
CPD-PT            , "CPD,Pwr Trans"                                                                                   , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 62.29          , 22.25  , 51.17
CPD-SW            , "CPD,Switch (any size, any voltage)"                                                              , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 62.29          , 22.25  , 51.17
CTRL              , "Pole mounted control (capacitor, regulator, recloser)"                                           , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 70.23          , 24.47  , 88.71
EAG               , Electrostatic Animal Guard                                                                        , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 13.35          , 8.9    , 0
FCI               , OH fault indicator                                                                                , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 22.25          , 11.12  , 23.36
GND-CW-4-TD       , "GND,Copperweld,#4,Theft Deterrent"                                                               , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
GND-EB-4          , "GND,Equip bus assy,#4"                                                                           , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
GND-EE-4          , "GND,Extend Gnd To Guy/Eq,#4"                                                                     , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
GND-EERIV-4       , "GND,Extend Gnd To Guy/Eq/RivNut,#4"                                                              , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
GND-EN-4          , "GND,Extend Gnd To Arm,#4"                                                                        , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
GND-ENSLP-4       , "GND,Extend Gnd Across Slip Joint,#4"                                                             , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
GND-ES-4          , "GND,Ext. gnd to Sheilded/Static,#4"                                                              , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
GND-GRID          , "GND, Gnd grid (4 rods, connectors, wire, etc.)"                                                  , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
GND-HW-4-TD       , "GND,Hidewire,#4,Theft Deterrent"                                                                 , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
GND-LG            , "GND,Lug, lighting"                                                                               , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
GND-MD            , "GND,Wire Mldg Only"                                                                              , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
GND-PL            , "GND,Gnd Plate"                                                                                   , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
GND-ROD           , GND Rod && clamp only                                                                             , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
GND-SAM           , "GND,Sacrificial Anode Magnesium"                                                                 , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
GND-WD            , "GND,Wood Wire Mldg Only"                                                                         , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
GND-WR            , "GND,Wire Replace"                                                                                , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
GUY               , "Guy, complete assembly"                                                                          , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 131.96         , 44.5   , 0
GYD-STA           , "GYD,Sleeve Tension Auto Guy Splice"                                                              , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
GYD-SWF           , "GYD,Sidewalk Fitting"                                                                            , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
LTD-FDSF          , "LTD,Area Lt,Foundation,Screw,Fiberglass"                                                         , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
LTD-FSH           , "LTD,Area Lt,Fuse,Holder"                                                                         , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
LTD-MR            , "LTD,Area.Ltg.MultRelay"                                                                          , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
LTD-PED           , "LTD,St Lt Pedestal"                                                                              , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
LTD-SFD           , "LTD,St Lt,Foundation,Embeded"                                                                    , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
LVM-CCM           , "LVM,Control and Cable Mtng, Cable Incl"                                                          , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 71.19          , 28.92  , 191.33
LVM-CMP           , "LVM,Complete"                                                                                    , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 182.43         , 64.52  , 153.51
MLBR-I10M-R5M-T10M, METER LABOR - MR_.21_2                                                                            , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
MO                , Material only unit                                                                                , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
MTD-CT            , "MTD,Current Xfmr"                                                                                , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
MTD-OB            , "MTD,Option Board input/Output"                                                                   , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 155.74         , 137.94 , 304.8
